商品ID,标题,描述,品牌,类目,价格,销量,转发量,库存
100001,智能降噪蓝牙耳机Pro,搭载主动降噪技术续航长达30小时音质清晰通透,SoundWave,数码配件,299.0,18420,2150,0
100002,纯棉透气运动T恤,采用高科技速干面料适合跑步健身多色可选,FitPro,运动服饰,89.0,9750,720,35
100003,家用全自动扫地机器人,智能路径规划强力吸尘支持APP远程控制,CleanBot,家用电器,1299.0,4830,520,186
100004,有机燕麦片早餐谷物,无添加蔗糖富含膳食纤维早餐健康新选择,GreenField,食品饮料,45.9,24100,2820,15200
100005,机械键盘青轴版,全键无冲RGB背光电竞级响应速度,KeyMaster,电脑外设,359.0,7280,680,0
100006,儿童益智积木玩具,安全环保材质激发创造力适合3岁以上,BrainyKids,母婴玩具,128.0,11340,1520,48
100007,轻薄防晒衣UPF50+,冰丝面料透气不闷热户外出行必备,SunGuard,运动服饰,159.0,13200,1450,2800
100008,智能保温杯500ml,显温设计长效保温保冷简约商务风,HydroSmart,家居日用,199.0,8650,410,92
100009,复古帆布双肩包,大容量分层设计耐磨防水通勤旅行两用,TravelCraft,箱包配饰,249.0,6430,380,0
100010,植物精油香薰机,超声波雾化静音运行营造舒缓氛围,AromaPure,家居日用,179.0,9900,620,1450
100011,便携式筋膜枪Mini,6档力度调节超轻机身运动后放松肌肉,RecoverX,运动健康,169.0,8120,490,18
100012,无糖气泡水整箱,0卡0脂0糖添加真实果汁清爽解腻,FizzLife,食品饮料,59.9,21600,2540,18500
100013,人体工学办公椅,自适应腰托可调节头枕久坐不累,ErgoSeat,家具家装,899.0,3950,280,0
100014,高清投影仪家用,1080P原生分辨率自动梯形校正卧室影院体验,LumiView,数码影音,1599.0,5800,720,85
100015,宠物自动饮水机,三重过滤系统静音水泵猫咪狗狗爱喝水,PawFresh,宠物用品,139.0,7890,1150,2300
100016,电动牙刷声波版,高频震动智能定时深入清洁牙缝,SmileTech,个护健康,129.0,15200,1880,0
100017,无线鼠标静音办公,微动降噪精准定位续航持久,ClickPro,电脑外设,79.0,23500,3100,5200
100018,儿童保温杯吸管款,食品级硅胶防漏防摔可爱卡通图案,KidsSafe,母婴玩具,69.0,20900,2650,38
100019,真丝睡衣套装,100%桑蚕丝亲肤透气四季可穿,SilkDream,家居日用,399.0,4620,620,0
100020,智能手表健康监测,心率血氧睡眠追踪50米防水,WatchSync,智能穿戴,899.0,10800,1320,286
100021,瑜伽垫加厚防滑,TPE环保材质双面纹理加厚回弹,FitZone,运动服饰,89.0,17500,1400,920
100022,冻干猫粮高蛋白,鲜肉低温冻干锁住营养适口性极佳,PetJoy,宠物用品,159.0,13800,1180,0
100023,车载手机支架,重力感应单手操作稳固不挡视线,DriveMate,汽车用品,49.0,27600,3400,7200
100024,空气炸锅可视化,4L大容量智能触控免翻面炸制,CookMaster,家用电器,299.0,12200,950,15
100025,男士商务休闲皮鞋,头层牛皮透气内里防滑耐磨鞋底,ClassicStep,服饰鞋包,259.0,8800,620,0
100026,儿童护眼台灯,国AA级照度无频闪自动调光护眼舒适,BrightEye,家居日用,189.0,10500,1400,205
100027,速干运动短裤,四面高弹透气排汗适合高强度训练,ActiveGear,运动服饰,79.0,21800,2300,3500
100028,无线充电器三合一,手机手表耳机同时快充桌面整洁,PowerMax,数码配件,149.0,14500,1850,0
100029,不锈钢刀具套装,德国工艺防锈锋利切砍两用,ChefPro,厨房用具,219.0,9200,790,52
100030,智能门锁指纹密码,半导体指纹C级锁芯远程监控预警,SafeHome,智能家居,899.0,6100,480,0
100031,儿童平衡车无脚踏,碳钢车架减震轮胎安全稳固,SpeedKids,母婴玩具,299.0,7800,950,32
100032,便携折叠雨伞,玻纤骨架拒水涂层轻量化收纳,CloudUmbrella,家居日用,59.0,31900,3800,10500
100033,燕麦奶植物饮料,0乳糖低脂富含膳食纤维乳糖不耐友好,OatWell,食品饮料,42.0,16600,1400,0
100034,电竞显示器27寸,2K分辨率165Hz刷新率1ms响应,GameView,电脑外设,1399.0,5100,420,74
100035,真皮男士钱包,头层牛皮多卡位RFID防盗刷,LeatherCraft,箱包配饰,159.0,12200,990,0
100036,智能体脂秤,八电极精准测量APP数据同步健康管家,ScalePro,智能穿戴,99.0,19500,2400,450
100037,儿童防晒帽,UPF50+宽檐设计透气网眼不闷热,SunGuard,母婴玩具,39.0,24100,3000,12
100038,破壁机家用静音,12叶精钢刀头免过滤细腻无渣,BlendMaster,家用电器,459.0,8800,750,0
100039,运动护膝加压款,硅胶垫圈防滑加压支撑保护半月板,JointCare,运动服饰,69.0,15500,1200,340
100040,智能音箱语音助手,全屋智能中控高保真音质声场宽广,VoiceBox,智能家居,199.0,13500,1650,2050
100041,女士防晒冰袖,凉感面料防紫外线弹力不紧绷,SunGuard,运动服饰,29.0,34500,4400,0
